person_id,country,city_br,renda_disponivel_real,technical_course,college_private,language_course,emergency_savings_target,mobility_cost,ioe_technical,ioe_college,ioe_language,ioe_savings,ioe_mobility,ioe_raw,ioe_raw_zscore,ioe_raw_minmax
e275cfad-82df-4b07-b337-e52fa6d47688,Brazil,Campo Grande,2286.0,400.0,1200.0,300.0,5000.0,250.0,5.715,1.905,7.62,0.4572,9.144,24.8412,0.08985000111497306,0.05551162618300428
6750f107-61f8-4133-a47a-6c8c5800501f,Brazil,Brasília,1560.0,400.0,1200.0,300.0,5000.0,250.0,3.9,1.3,5.2,0.312,6.24,16.951999999999998,0.0003311089272612075,0.051026711804096965
758e3350-c2c3-47b7-83a0-f9a6c8b78e42,Brazil,Vitória,1040.0,400.0,1200.0,300.0,5000.0,250.0,2.6,0.8666666666666667,3.466666666666667,0.208,4.16,11.301333333333334,-0.0637871058628354,0.04781437643628457
0d58a420-06f0-4876-b36b-afcfca29154d,Brazil,Vitória,1044.0,400.0,1200.0,300.0,5000.0,250.0,2.61,0.87,3.48,0.2088,4.176,11.3448,-0.0632938888259885,0.04783908670834466
99a9d15b-91b6-4548-a320-9bfeb5d1ebea,Brazil,Campinas,-300.0,400.0,1200.0,300.0,5000.0,250.0,-0.75,-0.25,-1.0,-0.06,-1.2,-3.26,-0.2290148132065459,0.03953643529615261
09366a5b-08e8-4b72-8cf4-bce662db362f,Brazil,Campinas,1390.0,400.0,1200.0,300.0,5000.0,250.0,3.475,1.1583333333333334,4.633333333333334,0.278,5.56,15.104666666666667,-0.0206306151387319,0.04997652524154292
de20359b-ec72-47fa-aaab-8f110840bb63,Brazil,Fortaleza,-638.0,400.0,1200.0,300.0,5000.0,250.0,-1.595,-0.5316666666666666,-2.1266666666666665,-0.1276,-2.552,-6.932933333333333,-0.2706916528201087,0.03744841730707455
69fe62b8-1880-49c1-a107-3ab548babbd3,Brazil,Vitória,9348.0,400.0,1200.0,300.0,5000.0,250.0,23.37,7.79,31.16,1.8696,37.392,101.58160000000001,0.9606246796681701,0.09913761150510268
8a99af41-76cb-4d70-83c3-b218d0f44b68,Brazil,São Paulo,2350.0,400.0,1200.0,300.0,5000.0,250.0,5.875,1.9583333333333333,7.833333333333333,0.47,9.4,25.53666666666667,0.09774147370452343,0.0559069905359658
239d38f1-06fe-43ce-9c7f-cd98acc66807,Brazil,São Paulo,-1070.0,400.0,1200.0,300.0,5000.0,250.0,-2.675,-0.8916666666666667,-3.566666666666667,-0.214,-4.28,-11.627333333333333,-0.32395909279957363,0.034779707924584256
e918061f-fd42-404a-aeef-4b14775578bf,Brazil,Cuiabá,-2266.0,400.0,1200.0,300.0,5000.0,250.0,-5.665,-1.8883333333333334,-7.553333333333334,-0.4532,-9.064,-24.623866666666668,-0.47143098681679585,0.02739133657861573
a0e18f6a-1771-4c6e-a508-da7347673a78,Brazil,Rio Branco,190.0,400.0,1200.0,300.0,5000.0,250.0,0.475,0.15833333333333333,0.6333333333333333,0.038,0.76,2.0646666666666667,-0.16859572619280103,0.0425634436235143
1be21ce3-de56-4545-b5f9-454ee69bc253,Brazil,Rio de Janeiro,-283.0,400.0,1200.0,300.0,5000.0,250.0,-0.7075,-0.23583333333333334,-0.9433333333333334,-0.0566,-1.132,-3.075266666666667,-0.22691864079994664,0.03964145395240802
beb1593c-00d0-446b-803b-f70b5fc0d235,Brazil,Manaus,3640.0,400.0,1200.0,300.0,5000.0,250.0,9.1,3.033333333333333,12.133333333333333,0.728,14.56,39.55466666666667,0.25680396808764777,0.06387605327534657
152d5ff8-7d65-40b3-aace-08644bd16822,Brazil,Curitiba,1260.0,400.0,1200.0,300.0,5000.0,250.0,3.15,1.05,4.2,0.252,5.04,13.692,-0.03666016883625605,0.04917344139958982
099e7fda-5e88-4f88-931a-069aac54a1f3,Brazil,Recife,930.0,400.0,1200.0,300.0,5000.0,250.0,2.325,0.775,3.1,0.186,3.72,10.106,-0.07735057437612507,0.047134843954631946
e6697281-dcbe-478f-a761-5d4a0df2935d,Brazil,São Luís,1850.0,400.0,1200.0,300.0,5000.0,250.0,4.625,1.5416666666666667,6.166666666666667,0.37,7.4,20.10333333333333,0.03608934409866125,0.05281820652845388
963c5698-89b7-435c-bb97-4e0ffce0690b,Brazil,Rio de Janeiro,7842.0,400.0,1200.0,300.0,5000.0,250.0,19.605,6.535,26.14,1.5684,31.368,85.2164,0.7749284652953131,0.08983419407447676
eb5099d2-9f08-4c73-a952-f57aa5e2b276,Brazil,Campinas,-2450.0,400.0,1200.0,300.0,5000.0,250.0,-6.125,-2.0416666666666665,-8.166666666666666,-0.49,-9.8,-26.62333333333333,-0.4941189705117531,0.026254664063851345
8b46a80a-1ac3-4e62-abba-880058eaf7c5,Brazil,Natal,156.0,400.0,1200.0,300.0,5000.0,250.0,0.39,0.13,0.52,0.0312,0.624,1.6951999999999998,-0.17278807100599966,0.04235340631100349
59dc7539-bf61-46f6-9e99-318911ceebc4,Brazil,Belo Horizonte,-4548.0,400.0,1200.0,300.0,5000.0,250.0,-11.37,-3.79,-15.16,-0.9096,-18.192,-49.4216,-0.7528113063379507,0.01329412636833132
